,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
451,Banty_90,2022-07-10 00:18:56+00:00,RT @prince_clever07: The only artist that can sing about political issues and e go enter. The only artist that can sing about heartbreak an…,,False,Twitter for iPhone,151,91,1545925503718199298
452,ChrisKh57703957,2022-07-10 00:18:52+00:00,"RT @Burnaboystats1: 🇬🇧 UK iTunes top songs 

#20 - Last Last (new peak)

#LOVEDAMINI #Burnaboy https://t.co/glZNX6Ui6R",,False,Twitter for iPhone,1073,49,1545925487930875904
453,kng_drizzy184,2022-07-10 00:18:51+00:00,X1 ft headphones #LOVEDAMINI #BURNABOY𓃵  mental orgasmsssss,Missing ,False,Twitter for iPhone,55,0,1545925480326512642
454,Outsideisbliss,2022-07-10 00:18:49+00:00,RT @ArewaAdebukolaa: That place burna screamed Everybody know that I’m the gyal dem controller. on science dey always burst my brain 😭 #LOV…,"Kumasi, Ghana",False,Twitter for Android,2366,12,1545925473678540800
455,Lakitan6,2022-07-10 00:18:46+00:00,"RT @TheREACHNG: Yesterday when we visited the Aboki community at Elegushi, Lagos. We shared food packs to 300 people courtesy of Burna Boy…","Otta, Nigeria",False,Twitter for Android,743,258,1545925463037677568
456,ChukwuebukaAri1,2022-07-10 00:18:46+00:00,"RT @UnrulyOutsider: ‘ He sampled Fela’ people are the most disappointed. 😂😜

#LoveDamini",,False,Twitter for iPhone,629,71,1545925462110703617
457,W0rldWideKEV,2022-07-10 00:18:45+00:00,#LOVEDAMINI actually has no bad song.,"Abuja, Nigeria",False,Twitter for Android,1145,0,1545925457593384962
458,champaBass,2022-07-10 00:18:39+00:00,"RT @chartdata: .@burnaboy earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",,False,Twitter for iPhone,25,609,1545925429873238019
459,ChrisKh57703957,2022-07-10 00:18:28+00:00,RT @99og_: Cloak and Dagger on Repeat 🔂 #LOVEDAMINI,,False,Twitter for iPhone,1073,8,1545925386751676416
460,1Rxseyi,2022-07-10 00:18:27+00:00,RT @AlbumTalksHQ: .@burnaboy’s #LOVEDAMINI is now #1 in 45 countries. (Apple),Tesla workshop / desgin 🆙,False,Twitter for iPhone,334,117,1545925381303279623
461,alok_savage,2022-07-10 00:18:24+00:00,RT @WayneH__: #LOVEDAMINI gets better with each listen,"Lagos, Nigeria",False,Twitter for iPhone,495,517,1545925370666487809
462,ChrisKh57703957,2022-07-10 00:18:19+00:00,"RT @Taylorbankz3: If you love @burnaboy , please kindly retweet this love damini shirt designed by taylorbankz....let's Make it go viral...…",,False,Twitter for iPhone,1073,14,1545925348105281543
463,zubbychicomedy,2022-07-10 00:18:15+00:00,RT @itskenechi: Burna Boy never disappoints! I love every bit of his new album. #LOVEDAMINI,"Victoria Island, Nigeria",False,Twitter for Android,457,117,1545925329482555399
464,FweshEmma,2022-07-10 00:18:05+00:00,RT @chartdata: .@burnaboy simultaneously occupies the entire top 19 on the Nigerian Spotify chart with every song from #LOVEDAMINI. He's th…,,False,Twitter for iPhone,1376,748,1545925289645146112
465,BlackBoyF_ly,2022-07-10 00:17:56+00:00,RT @kvngvinci: My parents are so proud of me 😄 #LOVEDAMINI,Apokolips,False,Twitter for Android,1222,47,1545925251044966404
466,sayfemi,2022-07-10 00:17:55+00:00,RT @Damiar0s: Burna Boy and Victony on Different size #LOVEDAMINI https://t.co/mCcuhfgN4U,,False,Twitter for iPhone,2026,20,1545925247580487680
467,zubbychicomedy,2022-07-10 00:17:54+00:00,RT @TwitterMusic: 👀 your fave songs from #LoveDamini,"Victoria Island, Nigeria",False,Twitter for Android,457,316,1545925243809763332
468,supremescourt,2022-07-10 00:17:49+00:00,this man can sing sha #LOVEDAMINI,♡,False,Twitter for iPhone,4054,2,1545925223811276800
469,ChrisKh57703957,2022-07-10 00:17:48+00:00,RT @ArewaAdebukolaa: No fela no diddy yet we breaking records. Them dey pray make we fall and stagger but We move in cloak in dagger 🦍 #LOV…,,False,Twitter for iPhone,1073,31,1545925219004678145
